arrivaltime,exchangetime,exchangemillisec,ticker,latency
13791704597290,11:30:00,400,IF2207,31024
15455396098241,13:00:00,400,IF2207,5137
15455893469936,13:00:00,900,IF2207,2731
15456522066603,13:00:01,400,IF2207,4225
15456931275169,13:00:01,900,IF2207,3173
15457444379253,13:00:02,400,IF2207,3007
15457959419039,13:00:02,900,IF2207,2831
15458470931764,13:00:03,400,IF2207,2716
15458980358206,13:00:03,900,IF2207,4149
15459493452303,13:00:04,400,IF2207,3047
15460004499704,13:00:04,900,IF2207,8750
15460416142419,13:00:05,400,IF2207,7412
15460925515157,13:00:05,900,IF2207,1893
15461438521384,13:00:06,400,IF2207,3047
15461950315133,13:00:06,900,IF2207,3042
15462462803954,13:00:07,400,IF2207,4425
15463486472981,13:00:08,400,IF2207,3494
15463998543106,13:00:08,900,IF2207,3397
15464408975846,13:00:09,400,IF2207,2716
15464919507086,13:00:09,900,IF2207,2762
15465943726947,13:00:10,900,IF2207,4695
15466455224398,13:00:11,400,IF2207,2942
15466967343345,13:00:11,900,IF2207,5317
15467479512476,13:00:12,400,IF2207,3353
15467993148166,13:00:12,900,IF2207,3022
15468502963384,13:00:13,400,IF2207,2886
15468913654090,13:00:13,900,IF2207,2982
15469424443540,13:00:14,400,IF2207,2594
15469936817729,13:00:14,900,IF2207,4159
15470449489012,13:00:15,400,IF2207,3093
15470962985236,13:00:15,900,IF2207,2751
15471477003422,13:00:16,400,IF2207,3132
15471985241730,13:00:16,900,IF2207,3729
15472496937249,13:00:17,400,IF2207,4631
15473009222450,13:00:17,900,IF2207,3228
15473418819286,13:00:18,400,IF2207,3528
15473929646986,13:00:18,900,IF2207,3167
15474442734499,13:00:19,400,IF2207,2640
15474955402630,13:00:19,900,IF2207,13848
15475466696642,13:00:20,400,IF2207,2476
15476082283986,13:00:20,900,IF2207,3543
15477007321493,13:00:21,900,IF2207,3342
15477416044844,13:00:22,400,IF2207,4350
15477923161206,13:00:22,900,IF2207,3103
15478437365544,13:00:23,400,IF2207,3543
15478948897481,13:00:23,900,IF2207,4981
15479460181933,13:00:24,400,IF2207,3092
15480486314321,13:00:25,400,IF2207,2877
15481405515339,13:00:26,400,IF2207,2829
15481916992212,13:00:26,900,IF2207,2716
15482431468320,13:00:27,400,IF2207,3067
15482942615771,13:00:27,900,IF2207,2992
15483456074995,13:00:28,400,IF2207,3303
15483965525048,13:00:28,900,IF2207,17285
15484990799339,13:00:29,900,IF2207,2682
15485502138162,13:00:30,400,IF2207,3442
15485972201665,13:00:30,900,IF2207,2796
15486422605220,13:00:31,400,IF2207,2027
15486936825483,13:00:31,900,IF2207,3380
15487446806122,13:00:32,400,IF2207,15190
15487959699172,13:00:32,900,IF2207,2636
15488985868323,13:00:33,900,IF2207,2821
15489495141038,13:00:34,400,IF2207,3503
15490007820247,13:00:34,900,IF2207,3373
15490417452495,13:00:35,400,IF2207,3132
15490929902095,13:00:35,900,IF2207,2661
15491441107452,13:00:36,400,IF2207,2676
15491954832519,13:00:36,900,IF2207,1898
15492468174193,13:00:37,400,IF2207,3853
15492977557645,13:00:37,900,IF2207,5012
15493489146854,13:00:38,400,IF2207,3388
15494000959896,13:00:38,900,IF2207,2872
15494513788945,13:00:39,400,IF2207,2751
15494925610771,13:00:39,900,IF2207,4155
15495435536366,13:00:40,400,IF2207,2866
15495946659214,13:00:40,900,IF2207,2877
15496458585139,13:00:41,400,IF2207,3433
15496970248257,13:00:41,900,IF2207,4416
15497485698449,13:00:42,400,IF2207,3834
15498506989312,13:00:43,400,IF2207,3448
15499429474613,13:00:44,400,IF2207,2701
15499941227407,13:00:44,900,IF2207,3017
15500452737748,13:00:45,400,IF2207,5016
15500965002792,13:00:45,900,IF2207,2982
15501477001779,13:00:46,400,IF2207,3509
15501988189160,13:00:46,900,IF2207,4826
15502501451530,13:00:47,400,IF2207,2647
15503013381438,13:00:47,900,IF2207,2967
15503421300724,13:00:48,400,IF2207,18428
15504446441350,13:00:49,400,IF2207,2987
15504958227947,13:00:49,900,IF2207,2606
15505471504709,13:00:50,400,IF2207,2802
15506494961196,13:00:51,400,IF2207,5836
15507007492892,13:00:51,900,IF2207,3132
15507518087550,13:00:52,400,IF2207,2791
15507927750976,13:00:52,900,IF2207,3708
15508439491330,13:00:53,400,IF2207,2692
15509054972464,13:00:53,900,IF2207,2922
15509462506453,13:00:54,400,IF2207,3488
15509975063391,13:00:54,900,IF2207,3037
15510488655585,13:00:55,400,IF2207,3358
15511513453801,13:00:56,400,IF2207,2836
15511921779895,13:00:56,900,IF2207,2842
15512432715287,13:00:57,400,IF2207,3152
15512946249153,13:00:57,900,IF2207,5122
15513458006215,13:00:58,400,IF2207,3312
15513971592224,13:00:58,900,IF2207,5993
15515505978136,13:01:00,400,IF2207,3644
15515975749527,13:01:00,900,IF2207,3197
15516427171206,13:01:01,400,IF2207,4646
15516940102581,13:01:01,900,IF2207,4320
15518478448994,13:01:03,400,IF2207,2301
15518988539168,13:01:03,900,IF2207,2137
15519500268937,13:01:04,400,IF2207,1888
15520012244530,13:01:04,900,IF2207,2632
15521410222550,13:01:06,400,IF2207,3593
15521958435578,13:01:06,900,IF2207,2761
15522468495956,13:01:07,400,IF2207,3187
15522981628808,13:01:07,900,IF2207,4099
15523492523038,13:01:08,400,IF2207,3148
15524005728353,13:01:08,900,IF2207,1362
15524409329460,13:01:09,400,IF2207,2402
15525439284099,13:01:10,400,IF2207,3599
15528510404098,13:01:13,400,IF2207,3308
15529022222615,13:01:13,900,IF2207,4195
15529432761411,13:01:14,400,IF2207,2776
15529943914975,13:01:14,900,IF2207,2736
15530455748442,13:01:15,400,IF2207,2186
15530968100543,13:01:15,900,IF2207,4611
15531479755970,13:01:16,400,IF2207,3584
15531991442946,13:01:16,900,IF2207,2906
15532503683260,13:01:17,400,IF2207,2811
15533015750932,13:01:17,900,IF2207,2756
15533425177518,13:01:18,400,IF2207,3303
15533937657464,13:01:18,900,IF2207,3984
15534449024597,13:01:19,400,IF2207,3087
15534961536930,13:01:19,900,IF2207,3448
15535473178649,13:01:20,400,IF2207,2857
15535985094913,13:01:20,900,IF2207,3889
15536496531050,13:01:21,400,IF2207,21176
15537011587315,13:01:21,900,IF2207,1439
15537521655085,13:01:22,400,IF2207,2281
15537930358943,13:01:22,900,IF2207,3859
15538956153338,13:01:23,900,IF2207,4140
15539467859275,13:01:24,400,IF2207,2711
15539979037754,13:01:24,900,IF2207,4872
15541002580561,13:01:25,900,IF2207,4084
15542437550371,13:01:27,400,IF2207,2369
15542949922353,13:01:27,900,IF2207,3484
15543461227844,13:01:28,400,IF2207,4655
15543973355743,13:01:28,900,IF2207,4250
15544485799644,13:01:29,400,IF2207,3278
15544995991623,13:01:29,900,IF2207,5072
15545508388884,13:01:30,400,IF2207,2882
15545984909871,13:01:30,900,IF2207,3824
15546532936841,13:01:31,400,IF2207,3217
15546942264274,13:01:31,900,IF2207,2801
15548989737767,13:01:33,900,IF2207,2876
15549502341843,13:01:34,400,IF2207,3714
15550013302903,13:01:34,900,IF2207,2662
15550526633620,13:01:35,400,IF2207,3839
15551448374933,13:01:36,400,IF2207,1949
15553837824109,13:01:38,900,IF2207,2857
15555441992583,13:01:40,400,IF2207,2596
15555851567263,13:01:40,900,IF2207,3202
15558924288420,13:01:43,900,IF2207,3823
15559948384171,13:01:44,900,IF2207,4792
15560359018591,13:01:45,400,IF2207,2976
15562405122960,13:01:47,400,IF2207,3979
15562917228954,13:01:47,900,IF2207,4455
15563941045664,13:01:48,900,IF2207,3060
15565377602108,13:01:50,400,IF2207,3593
15566513223063,13:01:51,400,IF2207,2866
15567128245761,13:01:51,900,IF2207,2740
15568958860196,13:01:53,900,IF2207,1898
15569367300448,13:01:54,400,IF2207,2584
15570905031921,13:01:55,900,IF2207,3423
15571929458772,13:01:56,900,IF2207,2811
15573847640050,13:01:58,900,IF2207,2706
15574387682304,13:01:59,400,IF2207,2591
15576945835099,13:02:01,900,IF2207,2847
15578481697107,13:02:03,400,IF2207,3598
15580940303010,13:02:05,900,IF2207,3363
15582889998395,13:02:07,900,IF2207,2851
15583909235059,13:02:08,900,IF2207,3719
15584932470077,13:02:09,900,IF2207,2766
15585347329113,13:02:10,400,IF2207,2761
15585957456699,13:02:10,900,IF2207,3749
15586468700264,13:02:11,400,IF2207,4200
15586879187526,13:02:11,900,IF2207,20131
15587391321933,13:02:12,400,IF2207,2977
15587902461113,13:02:12,900,IF2207,4455
15588414000800,13:02:13,400,IF2207,2676
15588925782755,13:02:13,900,IF2207,2205
15591385244442,13:02:16,400,IF2207,2986
15592410048348,13:02:17,400,IF2207,3553
15592920753944,13:02:17,900,IF2207,2992
15593434453742,13:02:18,400,IF2207,3037
15593944305383,13:02:18,900,IF2207,2586
15594455630262,13:02:19,400,IF2207,3789
15594866472265,13:02:19,900,IF2207,1367
15595380203552,13:02:20,400,IF2207,3528
15595889891985,13:02:20,900,IF2207,2976
15596913551918,13:02:21,900,IF2207,4425
15597937501758,13:02:22,900,IF2207,2811
15598452228850,13:02:23,400,IF2207,3990
15599063272856,13:02:23,900,IF2207,5207
15599371471366,13:02:24,400,IF2207,4481
15600395232498,13:02:25,400,IF2207,3654
15601857157628,13:02:26,900,IF2207,2831
15602546514322,13:02:27,400,IF2207,3417
15607359352069,13:02:32,400,IF2207,9614
15608383401820,13:02:33,400,IF2207,5246
15608895769673,13:02:33,900,IF2207,8355
15609409254063,13:02:34,400,IF2207,5368
15609918972614,13:02:34,900,IF2207,3016
15610432498202,13:02:35,400,IF2207,5067
15611148220059,13:02:35,900,IF2207,6312
15611454576839,13:02:36,400,IF2207,3422
15611967507376,13:02:36,900,IF2207,4928
15612889531909,13:02:37,900,IF2207,2697
15613400885246,13:02:38,400,IF2207,8397
15613913153420,13:02:38,900,IF2207,2650
15614424177856,13:02:39,400,IF2207,3162
15614937092746,13:02:39,900,IF2207,2836
15615448743447,13:02:40,400,IF2207,3112
15615960380702,13:02:40,900,IF2207,4465
15616471839516,13:02:41,400,IF2207,2707
15616883002292,13:02:41,900,IF2207,3398
15617393027693,13:02:42,400,IF2207,1292
15617904962298,13:02:42,900,IF2207,1311
15619954300594,13:02:44,900,IF2207,2767
15620466870468,13:02:45,400,IF2207,2314
15620875863413,13:02:45,900,IF2207,3133
15621387769962,13:02:46,400,IF2207,2592
15621901758515,13:02:46,900,IF2207,2841
15622411569801,13:02:47,400,IF2207,2438
15623025919692,13:02:47,900,IF2207,1650
15623437619082,13:02:48,400,IF2207,2744
15623946554978,13:02:48,900,IF2207,2912
15625382963018,13:02:50,400,IF2207,16939
15625859475989,13:02:50,900,IF2207,2857
15626405895070,13:02:51,400,IF2207,1807
15626915692089,13:02:51,900,IF2207,2562
15627430309696,13:02:52,400,IF2207,2842
15629477082148,13:02:54,400,IF2207,2857
15630911193807,13:02:55,900,IF2207,1349
15631423245821,13:02:56,400,IF2207,2641
15631934739663,13:02:56,900,IF2207,2982
15632448694065,13:02:57,400,IF2207,2761
