arrivaltime,exchangetime,exchangemillisec,ticker,latency
16474577180999,13:03:45,200,IC2208,41415
16474615248868,13:03:45,700,IC2208,2886
16475152296801,13:03:46,200,IC2208,3266
16475665633738,13:03:46,700,IC2208,1719
16476178550133,13:03:47,200,IC2208,1796
16476690890099,13:03:47,700,IC2208,1985
16477201053905,13:03:48,200,IC2208,2325
16477654041015,13:03:48,700,IC2208,1901
16478331209291,13:03:49,200,IC2208,2601
16478649813945,13:03:49,700,IC2208,2486
16479355115393,13:03:50,200,IC2208,3377
16479650992538,13:03:50,700,IC2208,3233
16480174917188,13:03:51,200,IC2208,2471
16480694829573,13:03:51,700,IC2208,2425
16481310999407,13:03:52,200,IC2208,4080
16481706863296,13:03:52,700,IC2208,3278
16482217701945,13:03:53,200,IC2208,2786
16482635207830,13:03:53,700,IC2208,3508
16483141428221,13:03:54,200,IC2208,3027
16483671412437,13:03:54,700,IC2208,4300
16484168426018,13:03:55,200,IC2208,3513
16484676457603,13:03:55,700,IC2208,3659
16485119112575,13:03:56,200,IC2208,5102
16485700998956,13:03:56,700,IC2208,3393
16486215702958,13:03:57,200,IC2208,4001
16486724496815,13:03:57,700,IC2208,3739
16487135507501,13:03:58,200,IC2208,3999
16487646222141,13:03:58,700,IC2208,4385
16488157611281,13:03:59,200,IC2208,2065
16488671980088,13:03:59,700,IC2208,1841
16489181002507,13:04:00,200,IC2208,2779
16489626319040,13:04:00,700,IC2208,2097
16490208482842,13:04:01,200,IC2208,2967
16490717017510,13:04:01,700,IC2208,3131
16491228476828,13:04:02,200,IC2208,3142
16491642395537,13:04:02,700,IC2208,3333
16492153119923,13:04:03,200,IC2208,3729
16492662563496,13:04:03,700,IC2208,3674
16493175138282,13:04:04,200,IC2208,11690
16493689566920,13:04:04,700,IC2208,1690
16494199431877,13:04:05,200,IC2208,1558
16494666247272,13:04:05,700,IC2208,2766
16495222127788,13:04:06,200,IC2208,2827
16495735257126,13:04:06,700,IC2208,1985
16496147351378,13:04:07,200,IC2208,2470
16496656660859,13:04:07,700,IC2208,3884
16497169043378,13:04:08,200,IC2208,3311
16497680633162,13:04:08,700,IC2208,3496
16498194871694,13:04:09,200,IC2208,4781
16498705553798,13:04:09,700,IC2208,3067
16499128533359,13:04:10,200,IC2208,3834
16499628514827,13:04:10,700,IC2208,4129
16500241505006,13:04:11,200,IC2208,3057
16500630733185,13:04:11,700,IC2208,3638
16501164794964,13:04:12,200,IC2208,2862
16501679127322,13:04:12,700,IC2208,3553
16502186348322,13:04:13,200,IC2208,2626
16502699954877,13:04:13,700,IC2208,1271
16503210213122,13:04:14,200,IC2208,3207
16503724517890,13:04:14,700,IC2208,1896
16504234249061,13:04:15,200,IC2208,2907
16504628072669,13:04:15,700,IC2208,2376
16505157455160,13:04:16,200,IC2208,3257
16505668332329,13:04:16,700,IC2208,4150
16506180789859,13:04:17,200,IC2208,2671
16506644603549,13:04:17,700,IC2208,3458
16507202951181,13:04:18,200,IC2208,4405
16507715272372,13:04:18,700,IC2208,3788
16508227912633,13:04:19,200,IC2208,3894
16508741012373,13:04:19,700,IC2208,3247
16509260698782,13:04:20,200,IC2208,2927
16509663078123,13:04:20,700,IC2208,3538
16510173976494,13:04:21,200,IC2208,3498
16510686091204,13:04:21,700,IC2208,4456
16511196722329,13:04:22,200,IC2208,3193
16511713762260,13:04:22,700,IC2208,3132
16512221952008,13:04:23,200,IC2208,2911
16512734983216,13:04:23,700,IC2208,3594
16513143596447,13:04:24,200,IC2208,2546
16513654518649,13:04:24,700,IC2208,3628
16514167086307,13:04:25,200,IC2208,4249
16514679539106,13:04:25,700,IC2208,3458
16515192592142,13:04:26,200,IC2208,3293
16515632187649,13:04:26,700,IC2208,3232
16516132465196,13:04:27,200,IC2208,4456
16516636242460,13:04:27,700,IC2208,4079
16517134894842,13:04:28,200,IC2208,2551
16517649021771,13:04:28,700,IC2208,3638
16518161111230,13:04:29,200,IC2208,20066
16518677253963,13:04:29,700,IC2208,2441
16519185333248,13:04:30,200,IC2208,3738
16519638818720,13:04:30,700,IC2208,2941
16520210274736,13:04:31,200,IC2208,2691
16520719888905,13:04:31,700,IC2208,3207
16521747439758,13:04:32,700,IC2208,3358
16522153681331,13:04:33,200,IC2208,2997
16522665771194,13:04:33,700,IC2208,3167
16523178666516,13:04:34,200,IC2208,2927
16523638970029,13:04:34,700,IC2208,4135
16524304152421,13:04:35,200,IC2208,3342
16524669413628,13:04:35,700,IC2208,3147
16525226862966,13:04:36,200,IC2208,4280
16525742223471,13:04:36,700,IC2208,4681
16526252313040,13:04:37,200,IC2208,3272
16526667354682,13:04:37,700,IC2208,2736
16527173061157,13:04:38,200,IC2208,3358
16527686822800,13:04:38,700,IC2208,4044
16528194715918,13:04:39,200,IC2208,3137
16528642406239,13:04:39,700,IC2208,5152
16529219636810,13:04:40,200,IC2208,3303
16529734415539,13:04:40,700,IC2208,3222
16530243447873,13:04:41,200,IC2208,3328
16530660736903,13:04:41,700,IC2208,4360
16531167738407,13:04:42,200,IC2208,3313
16531676219814,13:04:42,700,IC2208,3733
16532191448999,13:04:43,200,IC2208,4225
16532703098344,13:04:43,700,IC2208,3208
16533213905137,13:04:44,200,IC2208,3037
16533728752389,13:04:44,700,IC2208,2757
16534239849268,13:04:45,200,IC2208,3718
16534642757723,13:04:45,700,IC2208,3478
16535158050218,13:04:46,200,IC2208,3894
16535670586486,13:04:46,700,IC2208,3643
16536182629786,13:04:47,200,IC2208,3608
16536694367916,13:04:47,700,IC2208,2972
16537207236202,13:04:48,200,IC2208,3323
16537719871754,13:04:48,700,IC2208,3884
16538231868884,13:04:49,200,IC2208,3263
16538742389635,13:04:49,700,IC2208,3769
16539254377587,13:04:50,200,IC2208,3002
16539667061010,13:04:50,700,IC2208,2912
16540178737684,13:04:51,200,IC2208,3183
16540688947957,13:04:51,700,IC2208,4085
16541199367161,13:04:52,200,IC2208,2451
16541712841895,13:04:52,700,IC2208,4710
16542234700352,13:04:53,200,IC2208,3418
16542739115471,13:04:53,700,IC2208,3909
16543144481573,13:04:54,200,IC2208,2570
16543657476824,13:04:54,700,IC2208,3232
16544170810655,13:04:55,200,IC2208,24331
16544681806826,13:04:55,700,IC2208,3889
16545195117873,13:04:56,200,IC2208,4335
16545707121388,13:04:56,700,IC2208,3564
16546217237435,13:04:57,200,IC2208,3523
16546732250330,13:04:57,700,IC2208,3298
16547242163803,13:04:58,200,IC2208,4240
16547755220762,13:04:58,700,IC2208,2637
16548164732235,13:04:59,200,IC2208,3588
16548678843161,13:04:59,700,IC2208,3759
16549190595589,13:05:00,200,IC2208,3739
16549645671365,13:05:00,700,IC2208,3071
16550212958418,13:05:01,200,IC2208,3162
16550726478576,13:05:01,700,IC2208,3092
16551237402098,13:05:02,200,IC2208,3839
16551750245582,13:05:02,700,IC2208,3308
16552158030197,13:05:03,200,IC2208,4490
16552669813661,13:05:03,700,IC2208,3232
16553181047893,13:05:04,200,IC2208,4180
16553694502834,13:05:04,700,IC2208,2717
16554205082576,13:05:05,200,IC2208,2438
16554673065213,13:05:05,700,IC2208,3373
16555229927308,13:05:06,200,IC2208,4340
16555648332824,13:05:06,700,IC2208,5593
16556252263349,13:05:07,200,IC2208,3242
16556648796654,13:05:07,700,IC2208,2826
16557174215192,13:05:08,200,IC2208,4896
16557687382207,13:05:08,700,IC2208,3859
16558200104937,13:05:09,200,IC2208,3092
16558714518682,13:05:09,700,IC2208,3042
16559224338698,13:05:10,200,IC2208,4169
16559838504982,13:05:10,700,IC2208,4430
16560245846726,13:05:11,200,IC2208,3112
16560680542427,13:05:11,700,IC2208,4084
16561168038054,13:05:12,200,IC2208,4110
16561680071127,13:05:12,700,IC2208,3022
16562195589839,13:05:13,200,IC2208,2546
16562705848263,13:05:13,700,IC2208,3437
16563218868440,13:05:14,200,IC2208,3839
16563730684579,13:05:14,700,IC2208,3132
16564239592290,13:05:15,200,IC2208,2661
16564648522582,13:05:15,700,IC2208,3112
16565263866988,13:05:16,200,IC2208,2917
16565673895223,13:05:16,700,IC2208,3733
16566188584081,13:05:17,200,IC2208,3207
16566697909354,13:05:17,700,IC2208,3513
16567150051154,13:05:18,200,IC2208,4901
16567721095156,13:05:18,700,IC2208,3463
16568235750273,13:05:19,200,IC2208,3318
16568747999928,13:05:19,700,IC2208,31377
16569258305979,13:05:20,200,IC2208,26305
16569668354163,13:05:20,700,IC2208,3292
16570182488787,13:05:21,200,IC2208,4175
16570692078033,13:05:21,700,IC2208,5202
16571204703634,13:05:22,200,IC2208,2957
16571718124075,13:05:22,700,IC2208,2997
16572229734725,13:05:23,200,IC2208,4330
16572738622317,13:05:23,700,IC2208,3322
16573255909090,13:05:24,200,IC2208,2592
16573661255743,13:05:24,700,IC2208,3473
16574172152551,13:05:25,200,IC2208,2816
16574685313989,13:05:25,700,IC2208,4625
16575197286850,13:05:26,200,IC2208,2946
16576220456444,13:05:27,200,IC2208,3338
16576732863503,13:05:27,700,IC2208,3713
16577246408139,13:05:28,200,IC2208,3964
16577758537311,13:05:28,700,IC2208,2640
16578186706674,13:05:29,200,IC2208,4180
16578681377396,13:05:29,700,IC2208,3377
16579189458044,13:05:30,200,IC2208,4565
16579651852626,13:05:30,700,IC2208,3077
16580214278767,13:05:31,200,IC2208,3864
16580727110919,13:05:31,700,IC2208,3829
16581238995126,13:05:32,200,IC2208,3077
16581751788516,13:05:32,700,IC2208,3413
16582264701738,13:05:33,200,IC2208,2642
16582671754394,13:05:33,700,IC2208,2521
16583184548950,13:05:34,200,IC2208,2937
16583696283555,13:05:34,700,IC2208,3538
16584209510303,13:05:35,200,IC2208,3584
16584679788907,13:05:35,700,IC2208,4185
16585231547821,13:05:36,200,IC2208,3664
16585745521777,13:05:36,700,IC2208,4440
16586768486310,13:05:37,700,IC2208,4430
16587176809678,13:05:38,200,IC2208,4245
16587689593752,13:05:38,700,IC2208,3132
16588202759977,13:05:39,200,IC2208,4921
16588713314154,13:05:39,700,IC2208,4210
16589228164881,13:05:40,200,IC2208,3183
