arrivaltime,exchangetime,exchangemillisec,ticker,latency
485345782618,07:05:03,200,IF2209,39654
3589165885607,09:29:00,200,IF2209,3864
3649170953931,09:30:00,200,IF2209,2110
3649683583799,09:30:00,700,IF2209,2784
3650198329859,09:30:01,200,IF2209,2902
3650711255625,09:30:01,700,IF2209,2586
3651221654411,09:30:02,200,IF2209,2821
3651731206119,09:30:02,700,IF2209,3122
3652246265831,09:30:03,200,IF2209,4014
3652755262555,09:30:03,700,IF2209,2777
3653167800189,09:30:04,200,IF2209,2966
3653677911006,09:30:04,700,IF2209,6660
3654191502510,09:30:05,200,IF2209,4190
3654701839422,09:30:05,700,IF2209,2626
3655212757696,09:30:06,200,IF2209,3805
3655728158277,09:30:06,700,IF2209,2793
3656240866021,09:30:07,200,IF2209,2721
3656748394125,09:30:07,700,IF2209,3428
3657262514477,09:30:08,200,IF2209,4676
3657670725510,09:30:08,700,IF2209,2972
3658185660620,09:30:09,200,IF2209,3623
3658697352388,09:30:09,700,IF2209,3232
3659208881873,09:30:10,200,IF2209,2566
3659717899956,09:30:10,700,IF2209,2761
3660157333396,09:30:11,200,IF2209,3794
3660743893445,09:30:11,700,IF2209,3979
3661253810045,09:30:12,200,IF2209,4651
3661766383617,09:30:12,700,IF2209,2927
3662178435052,09:30:13,200,IF2209,1457
3662895220316,09:30:13,700,IF2209,1998
3663202207779,09:30:14,200,IF2209,3629
3663714516711,09:30:14,700,IF2209,2414
3664227687821,09:30:15,200,IF2209,3142
3664737657235,09:30:15,700,IF2209,3137
3665251211606,09:30:16,200,IF2209,2942
3665761026042,09:30:16,700,IF2209,3538
3666272077075,09:30:17,200,IF2209,3218
3666684204842,09:30:17,700,IF2209,3152
3667193156391,09:30:18,200,IF2209,17731
3667708629096,09:30:18,700,IF2209,4044
3668222464483,09:30:19,200,IF2209,6165
3668730749960,09:30:19,700,IF2209,1431
3669244403484,09:30:20,200,IF2209,2469
3669753366892,09:30:20,700,IF2209,3159
3670228954410,09:30:21,200,IF2209,4153
3670676577377,09:30:21,700,IF2209,5467
3671187987096,09:30:22,200,IF2209,4460
3671700515598,09:30:22,700,IF2209,2796
3672213799289,09:30:23,200,IF2209,3117
3672728564642,09:30:23,700,IF2209,3638
3673235498784,09:30:24,200,IF2209,3388
3673849686792,09:30:24,700,IF2209,4671
3674262065192,09:30:25,200,IF2209,4390
3674775290011,09:30:25,700,IF2209,3027
3675180343554,09:30:26,200,IF2209,4620
3675694733999,09:30:26,700,IF2209,3949
3676209878872,09:30:27,200,IF2209,4039
3676717437898,09:30:27,700,IF2209,3037
3677228100084,09:30:28,200,IF2209,3030
3677742091848,09:30:28,700,IF2209,2273
3678255536955,09:30:29,200,IF2209,3222
3678764852851,09:30:29,700,IF2209,2620
3679279745243,09:30:30,200,IF2209,3147
3679690376048,09:30:30,700,IF2209,2722
3680200596160,09:30:31,200,IF2209,4841
3680710278050,09:30:31,700,IF2209,2932
3681223544998,09:30:32,200,IF2209,3984
3681734376256,09:30:32,700,IF2209,3338
3682250388485,09:30:33,200,IF2209,3458
3682661837281,09:30:33,700,IF2209,3303
3683272144969,09:30:34,200,IF2209,3697
3683683665120,09:30:34,700,IF2209,2997
3684195994323,09:30:35,200,IF2209,2982
3684709035457,09:30:35,700,IF2209,3333
3685234204231,09:30:36,200,IF2209,4611
3685730258592,09:30:36,700,IF2209,4350
3686242033752,09:30:37,200,IF2209,5543
3686754260152,09:30:37,700,IF2209,3132
3687265127932,09:30:38,200,IF2209,3955
3687680849862,09:30:38,700,IF2209,3198
3688186042218,09:30:39,200,IF2209,2952
3688698221265,09:30:39,700,IF2209,3543
3689211864882,09:30:40,200,IF2209,3301
3689723146131,09:30:40,700,IF2209,2538
3690235030159,09:30:41,200,IF2209,6550
3690748308228,09:30:41,700,IF2209,4896
3691258278400,09:30:42,200,IF2209,5047
3691772516270,09:30:42,700,IF2209,4100
3692179549744,09:30:43,200,IF2209,226747
3692692512864,09:30:43,700,IF2209,4235
3693204438490,09:30:44,200,IF2209,4014
3693715606731,09:30:44,700,IF2209,3042
3694227076088,09:30:45,200,IF2209,4821
3694743054444,09:30:45,700,IF2209,5052
3695254006602,09:30:46,200,IF2209,4619
3695831944944,09:30:46,700,IF2209,4661
3696168945282,09:30:47,200,IF2209,3047
3696687536077,09:30:47,700,IF2209,3072
3697199920389,09:30:48,200,IF2209,4310
3697711397991,09:30:48,700,IF2209,4450
3698223754016,09:30:49,200,IF2209,3152
3698731988246,09:30:49,700,IF2209,2777
3699247535946,09:30:50,200,IF2209,4169
3699758312235,09:30:50,700,IF2209,3267
3700233810322,09:30:51,200,IF2209,3307
3700782209414,09:30:51,700,IF2209,4030
3701191453960,09:30:52,200,IF2209,5081
3701704520180,09:30:52,700,IF2209,4896
3702215871636,09:30:53,200,IF2209,2931
3702729392948,09:30:53,700,IF2209,3062
3703238608745,09:30:54,200,IF2209,2666
3703752959244,09:30:54,700,IF2209,5192
3704262406267,09:30:55,200,IF2209,3478
3704774920552,09:30:55,700,IF2209,2792
3705287982574,09:30:56,200,IF2209,3328
3705697419598,09:30:56,700,IF2209,3007
3706210291235,09:30:57,200,IF2209,4015
3706721212950,09:30:57,700,IF2209,3268
3707231407729,09:30:58,200,IF2209,4485
3707746903551,09:30:58,700,IF2209,3493
3708256768645,09:30:59,200,IF2209,2941
3708768611306,09:30:59,700,IF2209,2576
3709279723994,09:31:00,200,IF2209,3037
3709796980971,09:31:00,700,IF2209,5542
3710204040549,09:31:01,200,IF2209,4655
3710716245300,09:31:01,700,IF2209,4605
3711225601195,09:31:02,200,IF2209,3222
3711738516068,09:31:02,700,IF2209,2727
3712252260107,09:31:03,200,IF2209,4525
3712765639899,09:31:03,700,IF2209,3964
3713276236892,09:31:04,200,IF2209,3783
3713786799116,09:31:04,700,IF2209,2766
3714196713671,09:31:05,200,IF2209,3708
3714706694284,09:31:05,700,IF2209,3554
3715222330553,09:31:06,200,IF2209,4214
3715731471778,09:31:06,700,IF2209,2097
3716242407471,09:31:07,200,IF2209,3400
3716758744818,09:31:07,700,IF2209,2562
3717270291222,09:31:08,200,IF2209,3622
3717780795836,09:31:08,700,IF2209,15816
3718292288125,09:31:09,200,IF2209,3863
3718700504030,09:31:09,700,IF2209,3338
3719212326919,09:31:10,200,IF2209,3297
3719726738260,09:31:10,700,IF2209,2646
3720237112978,09:31:11,200,IF2209,3222
3720749482784,09:31:11,700,IF2209,2952
3721260307718,09:31:12,200,IF2209,2855
3721772154919,09:31:12,700,IF2209,2595
3722287522639,09:31:13,200,IF2209,4070
3722799515323,09:31:13,700,IF2209,3373
3723205714657,09:31:14,200,IF2209,3879
3723719718273,09:31:14,700,IF2209,3172
3724231529865,09:31:15,200,IF2209,3473
3724846961092,09:31:15,700,IF2209,3297
3725257557448,09:31:16,200,IF2209,2932
3725768435295,09:31:16,700,IF2209,2976
3726278697942,09:31:17,200,IF2209,5207
3726791221655,09:31:17,700,IF2209,3122
3727202608423,09:31:18,200,IF2209,4262
3727712611578,09:31:18,700,IF2209,4080
3728224233451,09:31:19,200,IF2209,4105
3728735392599,09:31:19,700,IF2209,3173
3729248833727,09:31:20,200,IF2209,3383
3729761635559,09:31:20,700,IF2209,4470
3730234201547,09:31:21,200,IF2209,5021
3730784549387,09:31:21,700,IF2209,2726
3731298616687,09:31:22,200,IF2209,3142
3731707566107,09:31:22,700,IF2209,2857
3732219054278,09:31:23,200,IF2209,3227
3732687692501,09:31:23,700,IF2209,3462
3733245589792,09:31:24,200,IF2209,2958
3733755982674,09:31:24,700,IF2209,2798
3734269260779,09:31:25,200,IF2209,4224
3734776946053,09:31:25,700,IF2209,3062
3735292183574,09:31:26,200,IF2209,3142
3735701657756,09:31:26,700,IF2209,110108
3736211177489,09:31:27,200,IF2209,4454
3736724790196,09:31:27,700,IF2209,3276
3737236095115,09:31:28,200,IF2209,2707
3737746503471,09:31:28,700,IF2209,3408
3738261483092,09:31:29,200,IF2209,2717
3738771161842,09:31:29,700,IF2209,4265
3739284626888,09:31:30,200,IF2209,2706
3739999267656,09:31:30,700,IF2209,2857
3740206019450,09:31:31,200,IF2209,3363
3740716814911,09:31:31,700,IF2209,2596
3741229079255,09:31:32,200,IF2209,2802
3741742423485,09:31:32,700,IF2209,5398
3742252607730,09:31:33,200,IF2209,4906
3742764723987,09:31:33,700,IF2209,24727
3743279228870,09:31:34,200,IF2209,2601
3743791192995,09:31:34,700,IF2209,5152
3744300546803,09:31:35,200,IF2209,3253
3744715170114,09:31:35,700,IF2209,3238
3745225239932,09:31:36,200,IF2209,4541
3745736922911,09:31:36,700,IF2209,2826
3746248233063,09:31:37,200,IF2209,3082
3746760671663,09:31:37,700,IF2209,3463
3747269464174,09:31:38,200,IF2209,1449
3747785013157,09:31:38,700,IF2209,2540
3748293644479,09:31:39,200,IF2209,173987
3748707171351,09:31:39,700,IF2209,3862
3749217324707,09:31:40,200,IF2209,2949
3749730254987,09:31:40,700,IF2209,75579
3750242084291,09:31:41,200,IF2209,3743
3750753507655,09:31:41,700,IF2209,3423
3751263432483,09:31:42,200,IF2209,3904
3751778408709,09:31:42,700,IF2209,5563
3752290989764,09:31:43,200,IF2209,3057
3752799556519,09:31:43,700,IF2209,5097
3753208559747,09:31:44,200,IF2209,2027
3753828845319,09:31:44,700,IF2209,2533
3754235485445,09:31:45,200,IF2209,4480
3754745110352,09:31:45,700,IF2209,4656
3755257709957,09:31:46,200,IF2209,4756
3755770975587,09:31:46,700,IF2209,3118
3756284246461,09:31:47,200,IF2209,3734
3756792700112,09:31:47,700,IF2209,4265
3757308494729,09:31:48,200,IF2209,2951
3757717644999,09:31:48,700,IF2209,4406
3758226756715,09:31:49,200,IF2209,4886
3758739581187,09:31:49,700,IF2209,2581
3759301515474,09:31:50,200,IF2209,3297
3759979771078,09:31:50,700,IF2209,2083
3760289923821,09:31:51,200,IF2209,2305
3760900187660,09:31:51,700,IF2209,4931
3761198991654,09:31:52,200,IF2209,1918
3761711295563,09:31:52,700,IF2209,2896
3762221613206,09:31:53,200,IF2209,2664
3762836872954,09:31:53,700,IF2209,2237
3763200115330,09:31:54,200,IF2209,3593
3763756801027,09:31:54,700,IF2209,4199
3764270715464,09:31:55,200,IF2209,2711
3764779751718,09:31:55,700,IF2209,3443
3765300632760,09:31:56,200,IF2209,16087
3765806325332,09:31:56,700,IF2209,2380
3766219660926,09:31:57,200,IF2209,2867
3766725704787,09:31:57,700,IF2209,3488
3767246952123,09:31:58,200,IF2209,2862
3767749730329,09:31:58,700,IF2209,3162
3768272282402,09:31:59,200,IF2209,10524
3768674852454,09:31:59,700,IF2209,3378
3769186560060,09:32:00,200,IF2209,3358
3769700026852,09:32:00,700,IF2209,3052
3770210208403,09:32:01,200,IF2209,3112
3770618589141,09:32:01,700,IF2209,3073
3771128917213,09:32:02,200,IF2209,2694
3771644471976,09:32:02,700,IF2209,4625
3772156211182,09:32:03,200,IF2209,3814
3772665252740,09:32:03,700,IF2209,3263
3773177377122,09:32:04,200,IF2209,4109
3773602330147,09:32:04,700,IF2209,4691
3774201947628,09:32:05,200,IF2209,3543
3774715118784,09:32:05,700,IF2209,4540
3775122420016,09:32:06,200,IF2209,3318
3775640426020,09:32:06,700,IF2209,3027
3776149479023,09:32:07,200,IF2209,3092
3776661170601,09:32:07,700,IF2209,1453
3777173579424,09:32:08,200,IF2209,2681
3777685533391,09:32:08,700,IF2209,2465
3778201189507,09:32:09,200,IF2209,3292
3778707334646,09:32:09,700,IF2209,5279
3779218493726,09:32:10,200,IF2209,3288
3779628303108,09:32:10,700,IF2209,2861
3780142089890,09:32:11,200,IF2209,4690
3780657843771,09:32:11,700,IF2209,4586
3781270589858,09:32:12,200,IF2209,4200
3781676318450,09:32:12,700,IF2209,4991
3782191284808,09:32:13,200,IF2209,2208
3782700410237,09:32:13,700,IF2209,3632
3783214016310,09:32:14,200,IF2209,4130
3783624592486,09:32:14,700,IF2209,3127
3784133336007,09:32:15,200,IF2209,4100
3784614769078,09:32:15,700,IF2209,2837
3785157668234,09:32:16,200,IF2209,2972
3785672743402,09:32:16,700,IF2209,4736
3786181547048,09:32:17,200,IF2209,3333
3786695190924,09:32:17,700,IF2209,21209
3787208757753,09:32:18,200,IF2209,3493
3787721398522,09:32:18,700,IF2209,3287
3788127082098,09:32:19,200,IF2209,3333
3788641397119,09:32:19,700,IF2209,3538
3789150815993,09:32:20,200,IF2209,1882
3789667349402,09:32:20,700,IF2209,5063
3790178033373,09:32:21,200,IF2209,4103
3790687242491,09:32:21,700,IF2209,2927
3791202323913,09:32:22,200,IF2209,3608
3791813891680,09:32:22,700,IF2209,4125
3792225437717,09:32:23,200,IF2209,2702
3792632653716,09:32:23,700,IF2209,2852
